Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
SAP SD,Tata Consultancy Services,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","551,917 on LinkedIn",84 applicants,"Information Technology & Services 10,001+ employees 551,917 on LinkedIn",Full-time · Mid-Senior level,"['SAP SDDesired Experience Range : 3 - 6.5 yearsLocation of Requirement : PAN India""TCS has always been in the spotlight for being adept in “the next big technologies”. What we can offer you is a space to explore varied technologies and quench your techie soul"".Must Have:1. SAP SD (Sales & Distribution) functional skill,2. Understanding of SAP ECC (Sales and Distribution activities, Order to Cash processes and Logistics Execution – LE process). SAP VMS knowledge will be preferred.3. Should be able to do design activities and GAP4. Problem solving and customer handling capabilities']",Customer ServiceAddLogistics ManagementAddOpenVMS (VMS)AddOrder to CashAddSAP ERPAddSAP ProductsAddSAP Sales & DistributionAddSalesAddSales & DistributionAddStatutory Accounting Principles (SAP)Add
Content & Creator Ops Associate (ShareChat - Lifestyle Category - Kannada),ShareChat,"Bengaluru, Karnataka, India",Remote,"1,001-5,000 employees","2,455 on LinkedIn",Over 200 applicants,"Internet 1,001-5,000 employees 2,455 on LinkedIn",Full-time · Associate,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",MarketingAnalytical SkillsAddCampaign ManagementAddCommunity RelationsAddContent StrategyAddEnglishAddEntertainmentAddMicrosoft ExcelAddPop CultureAddSocial MediaAdd
SR SW APPLICATIONS ENGINEER - Backend Development,Extreme Networks,"Bengaluru, Karnataka, India",On-site,"1,001-5,000 employees","3,672 on LinkedIn",56 applicants,"Computer Software 1,001-5,000 employees 3,672 on LinkedIn",Full-time · Mid-Senior level,"['5+ years of industry experience in software engineering', 'Solid computer science fundamentals (data structures, algorithms, etc.)', 'Hands on programming experience in Java, REST APIs, Spring FrameworkXML, REST, JSON', 'Hands-on programming experience with RabbitMQ, Kafka, Hibernate, Postgres, Distributed Storage (Elasticsearch etc.)', 'Hands-on experience working on resilient, scalable distributed systems', 'Advanced analytical and problem-solving skills.', 'Experience developing enterprise security/networking products', 'Experience with cloud architecture and related technologies', 'Familiarity with SD-WAN, SASE technologies', 'Artificial Intelligence / Machine Learning as it relates to networking', 'Familiarity with service-oriented architecture and distributed computing.', 'A quick learner with excellent communication skills', 'Tenacious in your approach to problem solving', 'Highly productive with minimal supervision', 'Eager to learn about and adopt the latest technologies and best practices in your field']",Application ProgrammingAddCommunicationAddJSONAddProblem SolvingAddREST APIsAddRepresentational State Transfer (REST)AddSoftware DevelopmentAdd
Java Technical Lead,Tata Consultancy Services,"Bengaluru, Karnataka, India",Hybrid,"10,001+ employees","551,917 on LinkedIn",44 applicants,"Information Technology & Services 10,001+ employees 551,917 on LinkedIn",Full-time · Mid-Senior level,['Position: Java Tech LeadJob Location: Bangalore/ Hyderabad/ Kochi/Bhubaneswar /NoidaExperience required: 7 - 14 yearsMust-Have Key Skills-1. Must have Hands-on experience with Java 1.8 and above'],Apache KafkaAddHibernateAddJakarta PersistenceAddJavaAddMongoDBAddNoSQLAddRDBMSAddRepresentational State Transfer (REST)AddSpring BootAddSpring FrameworkAdd
Sr Developer - Full Stack,Toppan Merrill,Greater Chennai Area,On-site,"1,001-5,000 employees","1,467 on LinkedIn",24 applicants,"Financial Services 1,001-5,000 employees 1,467 on LinkedIn",Full-time · Mid-Senior level,"['Job Description:Proven experience as a Full Stack Developer or similar roleExperience developing desktop and mobile applicationsFamiliarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript frameworks, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX designExcellent communication and teamwork skillsGreat attention to detailOrganizational skillsAn analytical mindDegree in Computer Science, Statistics or relevant field']",Analytical SkillsAddAttention to DetailAddBack-End Web DevelopmentAddCommunicationAddComputer ScienceAdd
Manager Technology- Networks,Mashreq,"Bangalore Urban, Karnataka, India",On-site,"1,001-5,000 employees","7,894 on LinkedIn",188 applicants,"Banking 1,001-5,000 employees 7,894 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAddSoft SkillsAddTechnical WritingAdd
Workday Technical Product Instructor,Workday,"Pune, Maharashtra, India",Hybrid,"10,001+ employees","18,889 on LinkedIn",26 applicants,"Computer Software 10,001+ employees 18,889 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",EventsAddInfor Enterprise Resource Planning (ERP)AddJava DevelopmentAddLearningAddOperationsAddOracle FinancialsAddTraining CoursesAddWorkdayAddWorkday IntegrationAddWorkday StudioAdd
Associate Vice President - Pre-Sales and Solutions,LogiNext,"Mumbai, Maharashtra, India",On-site,201-500 employees,185 on LinkedIn,Over 200 applicants,Internet 201-500 employees 185 on LinkedIn,Full-time · Executive,"['Develop and convey out-of-the-box solutions, along with solution ideas to key decision makers to focus on their business issues', 'Understand and articulate the benefits of LogiNext products to educate enterprise clients on the value proposition of our products', 'Conduct on-field and on-site Proof of Concepts wherever required to assist clients validate technical requirements', 'Associate with Business Development managers to close complex deals', 'Work cross-functionally with business development, marketing, technology and finance team to ensure the timely and successful delivery of the solutions according to customer needs and objectives', 'Recognize product and technology disparity with customers and present a point of view to product and leadership teams', 'Perform business analytics on the client’s business KPIs and present to the client’s management', 'Generate leads by reaching out to prospective clients across countries and time-zones', 'Assist business development manager in achieving the sales targets by conducting pilots, showcasing results and building conviction at the client', 'Manage team of global presales engineers', 'Bachelor’s or Master’s Degree in Computer Science, Information Technology, Business Management, Statistics or related field', '11 to 14 years of experience in technical pre-sales or sales preferably in SaaS companies', 'Solid know-how of Enterprise SaaS products', 'Ability to multi task at a high degree with passion, strong initiatives and positive attitude', 'Advanced skill-set for driving system integrations, gathering requirements, documenting RFI/RFPs and cross-functional project management', 'Proficient in Excel and SQL', 'Excellent written and verbal communication skills and the ability to persuade, influence, negotiate and make formal presentations in meetings and training environments', 'Confident and dynamic working persona, which can bring fun to the team, and sense of humor, is a plus', 'Strong organizational skills, judgment and decision-making skills, and the ability to work under continual deadline pressure.', 'Must have leadership skills & a good team player', 'Willingness to travel to meet domestic and international prospects']",Business DevelopmentAddCommunicationAddMicrosoft ExcelAddNegotiationAddOral CommunicationAddOrganization SkillsAddPresalesAddProject ManagementAddRFPAddSoftware as a Service (SaaS)Add
