Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Senior Software Engineer,Optum,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,"10,001+ employees","62,854 on LinkedIn",23 applicants,"Hospital & Health Care 10,001+ employees 62,854 on LinkedIn",Full-time · Mid-Senior level,"['Develop high-quality software design and architecture', 'Identify, prioritize and execute tasks in the software development life cycle', 'Develop tools and applications by producing clean, efficient code', 'Automate tasks through appropriate tools and scripting', 'Review and debug code', 'Perform validation and verification testing', 'Collaborate with internal teams to fix and improve products', 'Mentor Software Engineers to allow for skill/knowledge development through advice, coaching, and training opportunities', 'Determine process improvements, best practices, and develop new processes', 'Work in close partnership with cross-functional teams and management', 'Assist in task planning, estimation, scheduling, and staffing', 'Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so', '6+ years of experience as a software engineer', '3+ years of experience with AWS / Azure cloud', '3+ years professional experience in developing data pipeline and validation', 'Experience working in an agile environment', 'Experience with professional software engineering best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing and operations', 'In-depth knowledge of Scala, Python, Spark and Big data technologies', 'In-depth knowledge of relational databases (e.g. PostgreSQL, MySQL, MS SQL Server)', 'Knowledge of writing infrastructure as code (IaC) using Cloud Formation or Terraform', 'Fluent with functional, imperative and big data skills', 'Solid OOP or Functional Programing and modeling skills', 'Proven ability to troubleshoot distributed systems', 'Proven excellent analytical and problem-solving skills', 'Proven excellent written and verbal communication skills', 'Proven eagerness and willingness to learn new technologies']",Code ReviewAddCoding StandardsAddCommunicationAddObject-Oriented Programming (OOP)AddSoftware DevelopmentAdd
Director - Control Testing (Operations),Morgan Stanley,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","85,380 on LinkedIn",133 applicants,"Financial Services 10,001+ employees 85,380 on LinkedIn",Full-time,"['Work with the Global Risk Managers to perform risk reviews to improve the control environment via multiple work streams and initiatives.', 'Design & implement approach for strategic initiatives', 'Lead and contribute to coordinating global risk and project agenda', 'Manage short and long term strategic and tactical projects in an effort to reduce Risk', 'Assist line manager in streamlining procedures by tracking manual processes, and finding opportunities for improvement without systemic solutions.', 'Assist line managers in implementing guidance, best practices or policies for newly implemented procedures providing a risk & control opinion.', 'Coordinate the annual RCSA (risk and control self-assessment), capture updates from the line teams, review and analyse the control assessment and work with teams to implement remediation actions.', 'Assist in internal and external audits to discuss potential findings, contribute to finalizing audit report as needed', 'Provide assistance to line teams and supervise migration of procedures to strategic locations, highlighting potential risks and working with line to find and implement solutions', 'Identify and implement new opportunities to improve controls and procedures, and decommission manual process', 'Analyse incidents to determine root cause, control break downs, impact and preventative actions are properly captured. Propose improvements to the processes and provide guidance to line teams on the incident management process', 'Assess impact of division wide policy/procedures', 'Input on new & existing Key Risk Indicators', 'Responsible for creation/contribution to the monthly risk pack for CORS and other metrics relevant to management in order to provide transparency to stakeholders', 'Monitor exception remediation plans (e.g. Segregation of Duty, RECAP action plans etc.)', 'Provide pointed risk & projects training', 'Address ad-hoc risk & projects related questions/inquiries from the line', 'Participate and contribute to regional initiatives driven by ORRC and cascade the same within the global risk team as well amongst the stakeholders', 'Contribute to Senior management risk reporting production including analysis, trending, exception management and commentary', 'Incidents management and action plan management', 'Monitor information security breaches', 'Key Risk Indicators (KRIs)', 'Training Gaps (Depth Charts)', 'Pre-Policy & Procedure review and disclosure of exclusions', 'EUC inventory and action planning', 'Entitlements management (e.g., Segregation of Duties review & remediation of issues)', 'Risk & Control Self-Assessment (RCSA) Program', 'Depth Chart Working Group', 'Business Continuity Planning including transference program', 'Ongoing support & feedback for all new Ops Risk and Control initiatives', 'Strong risk management and control mind-set.', 'Individual needs to be performance-driven, proactive, with proven ability to take on challenges, set and execute agenda. Candidate should be a dynamic self-starter with the ability to work either on their own initiative as well as be a solid team player with strong problem-solving skills.', 'Ability to evaluate and identify areas of risk across the organization. Identify and implement best practices and in some cases help shape the risk and project agenda.', 'Ability to be flexible. The scope of the role is limited only by the capacity of the incumbent to add value across the wide scope of CORS.', 'A willingness to engage in a wide range of issues at all levels of detail will be vital.', 'Ability to multi-task, prioritize and be flexible to changing priorities and demonstrate good organizational skills.', 'Ability to communicate effectively and confidently across all levels. Ability to confidently face off to senior management across divisions', 'Good interpersonal skills to build cross-divisional relationships; gain support and respect from key stakeholders (Business Unit, Operations, Global Financial Crimes, Legal & Compliance)', 'Good project management skills and the ability to represent information in graphical forms that enhance decision-making and communications', 'Ability to deliver on plans, complete next steps, and resolve issues in a timely manner', 'Proficiency in Excel / Word and PowerPoint.']",Action PlanningAddBusiness ContinuityAddBusiness Continuity PlanningAddCommunicationAddException ManagementAddOrganization SkillsAddProcedure ReviewAddRisk ReportingAddRisk ReviewsAddSkilled Multi-taskerAdd
Management Trainee - Helpdesk-CPG039111,Genpact,"Jaipur, Rajasthan, India",On-site,"10,001+ employees","130,090 on LinkedIn",54 applicants,"Information Technology & Services 10,001+ employees 130,090 on LinkedIn",Full-time · Associate,"['Process Purchase Order, Non-Purchase Order (FI), eInvoices as per the established process', 'Reconcile the processed work by the team verifying entries and comparing system reports', 'Charge expenses to accounts and cost centers by analyzing invoice/expense reports and recording entries', 'Production planning on a daily basis and allocating the inflow volume to respective team members', 'Pay vendors by monitoring contract/PO terms, discount, scheduling and preparing checks/Fund Transfer Orders, resolving purchase order, contract, invoice, or payment discrepancies and documentation; ensuring credit is received for outstanding memos, issuing stop-payments or purchase order amendments', 'Process travel and expense reports of employees by receiving and verifying expense reports for advances and receipts', 'Good knowledge of excel reports like Pivot table, formulas, formatting and cleansing the data', 'Resolving queries like wrong posting, reversal, and corrections', 'Support team members in processing corrections by clarifying their doubts and confusions', 'Ensure SOP’s are reviewed frequently and the latest updates are incorporated post-client signof', 'Maintain 100% accuracy of invoice processing and monthly reports', 'Report taxes whilst processing region-specific invoices as per the requirement', 'Understanding of Helpdesk operations would be an added advantage', 'University graduate in any discipline', 'Bachelor/Master of Commerce or Business Administration', 'Relevant work experience in AP preferably in the Oil and Gas industry', 'Must have sound knowledge of written and spoken English', 'Preferable to have practical knowledge of SAP', 'Preferable to have practical knowledge of Reporting and Service Now', 'Understanding of Source to Pay process is a plus', 'Excellent time management and planning skills', 'Attention to detail, good analytical and problem-solving capabilities', 'Drive to achieve results and deliver on goals']",Expense ReportsAddGas IndustryAddInvoice ProcessingAddPivot TablesAddProblem SolvingAddProduction PlanningAddPurchase OrdersAddSpoken EnglishAddTaxAddTechnical SupportAdd
Senior Associate,PwC India,Greater Kolkata Area,On-site,"5,001-10,000 employees","17,852 on LinkedIn",74 applicants,"Management Consulting 5,001-10,000 employees 17,852 on LinkedIn",Full-time · Mid-Senior level,"['Use feedback and reflection to develop self awareness, personal strengths and address development areas.', 'Delegate to others to provide stretch opportunities, coaching them to deliver results.', 'Demonstrate critical thinking and the ability to bring order to unstructured problems.', 'Use a broad range of tools and techniques to extract insights from current industry or sector trends.', 'Review your work and that of others for quality, accuracy and relevance.', 'Know how and when to use tools available for a given situation and can explain the reasons for this choice.', 'Seek and embrace opportunities which give exposure to different situations, environments and perspectives.', 'Use straightforward communication, in a structured way, when influencing and connecting with others.', 'Able to read situations and modify behavior to build quality relationships.', ""Uphold the firm's code of ethics and business conduct.""]",Code of EthicsAddCommunicationAddCritical ThinkingAddEmotional IntelligenceAddProfessional SkillsAddReflectionAdd
Group Manager I - Information Security,UST,"Thiruvananthapuram, Kerala, India",On-site,"10,001+ employees","30,433 on LinkedIn",26 applicants,"Information Technology & Services 10,001+ employees 30,433 on LinkedIn",Full-time · Mid-Senior level,"['Routine management of the Information Security and other compliance framework and systems.', 'Leadership and strategic direction for the function ranging from planning and budgeting to motivational and promotional activities', 'Independently handle infosec activities on all management areas to ensure compliance with ISO 27001 requirement as well as process specific requirements', 'Offer internal management consultancy advice and practical assistance on information security risk and control matters throughout the organization', 'Ensure that security programs comply with relevant laws regulations and policies to minimize or eliminate risk and audit findings.', 'Incident reporting should be done in case of any violations of InfoSec security procedures; discuss enforcement procedures with the supervisor to ensure that security incident or the violation of policies are not repeated.', 'Assist in managing Security Incident Management Process.', 'Lead or commission the preparation and authorizes the implementation of necessary information security policies standards procedures and guidelines', 'Lead the design and operation of related compliance monitoring and improvement activities to ensure compliance both with internal security policies etc. and applicable laws and regulations', 'Lead or commission activities relating to contingency planning business continuity management and IT disaster recovery in conjunction with relevant functions and third parties', 'Planning designing and implementing an overall risk management process for the organization.', 'Manage multiple location multiple team with strong leadership skills.', 'Collect artefacts for preparing compliance responses to customers on various compliance related queries.', 'Mentor B band employees', 'Number of process and idea implementation.', 'Number of billable opportunities to the team.', 'Areas of responsibility on cross domains.', 'Revenue (Targets vs Actuals)', 'Profitability (Targets vs Actuals)', 'Customer Satisfaction', 'People Satisfaction', 'EBITDA improvement % and $$', 'Number of unsolicited proposals (or) innovative ideas presented to management', 'Number of leaders developed and transferred to different engagements', 'Ensure the productivity of B band employees', 'Regular Feedback for performance evaluations', 'Ensure the adherence of SLA of various domain activities.', 'Review the efficiency of existing frameworks', 'Review external audit comments and suggest the improvements', 'Ensure Effective management of Risks', 'Ensure Effective management of Vendor Compliance', 'Cross domain responsibilities e.g.: Internal ISMS audits Infosec activities CM activities managing various certification audits executing location responsibilities.', 'Effective execution of Customer Assurance activities like customer compliance audits security questionnaire response contract documents review etc.', '1 per year (on responsible domains)', 'Expertise in information security management and related functions such as IT audit and IT Risk Management.', 'Information security management qualifications such as CISSP or CIPM or PMP', 'Absolutely trustworthy with high standards of personal integrity with unblemished career history complete lack of criminal convictions', 'Hands-on team leadership and management experience ideally coupled with suitable management qualifications such as an MBA', 'Keeping current on security developments and continuing education.', 'Ability to understand the functional IT needs of a business to maintain efficiency and productivity', 'Balance the IT needs with the necessary security needs for the network', 'Good at working in a team and with other teams', 'A great problem solver with the knack of coaching others to do the same', 'Should have an excellent knowledge of Information Security Business Continuity and Data Privacy standards and concepts.', 'Strong knowledge on project management activities.', 'Understand drivers of customer success and engagement success.', 'Knowledge on ISO and other Compliance standards efficient to evaluate and manage the security controls.', 'Knowledge on ISO 22301/27001/9001/27701 Risk Management incident management awareness activities customer assurance etc.', 'Knowledge on standard SDLC and project management life cycles.', 'Knowledge on the operations of various functional units like HR REFM IT Finance etc. and units involved in IT Asset lifecycle management.', 'Good to have Certifications like ISO 27001/22301/9001/27701 Lead Auditor CISM PMP CIPM CISSP etc.', 'Master’s degree in Information security or Business Continuity or Data Privacy domains', 'Should have 5+ years of experience leading large security testing teams and engagements', 'Leader with hands on security and penetration testing experience', 'Expected to setup and build the competency at UST', 'Work with other non-functional teams to build and overall proposition for specialized QE services', 'Should have carried out IT Security Audits, preferably in line with the CERT norms', 'Experience in working heterogeneous work environments', 'Must have at least one of the following certifications viz.: o Certified Information Systems Security Professional (CISSP) o Certified Information Security Manager (CISM) of ISACA o Certified Information Systems Auditor (CISA) of ISACA o Offensive Security, GSSP, CSSLP, ECSP, CCIE-Security, JNCIE-Security, ISMS Lead Auditor, GIAC, CompTIA Security+ Industry prevalent GRC certifications etc.', 'Experience in analyzing and in identifying the vulnerabilities manually', 'Experience in web application, Mobile App and network Vulnerability Assessment & Penetration Testing', 'Experience in Vulnerability Assessment and Penetration testing using industry standard tools such as Vulnerability Scanners for e.g., o Qualys, o Nessus, o WebInspect, o Acunetix, o Metaexploit, o Burp Suite Pro, o Netsparker, o Checkmarx Static Application Security Testing (SAST), o SonarQube', 'Experience in using security frameworks such as Metasploit, Kali Linux etc.', 'Experience and knowledge of Web Application Security standards such as OWASP/SANS etc.', 'Should have the ability to stay organized and possess excellent communication skills.']",Application SecurityAddBusiness ContinuityAddBusiness Continuity PlanningAddData PrivacyAddInformation SecurityAddInformation Security Management System (ISMS)AddPenetration TestingAddSecurity AuditsAddSecurity TestingAddVulnerability AssessmentAdd
Field Marketing Manager,SquadStack,"Noida, Uttar Pradesh, India",Hybrid,201-500 employees,422 on LinkedIn,75 applicants,Internet 201-500 employees 422 on LinkedIn,Full-time · Mid-Senior level,"['Plan and execute analog marketing strategies to generate MQLs (marketing qualified leads) for the SquadStack partner app', 'Manage performance marketing agencies to scale analog marketing strategies', 'Manage end-to-end funnel by setting up a strong data layer', 'Work with product and marketing teams to build a better SquadStack based on data and insights gathered through analog marketing activities', '5+ years of experience in analog marketing', 'Previous experience with BPOs is preferred', 'Excellent communication and interpersonal skills', 'Creative thinker and problem solver', 'Efficient organizational and time management skills', 'Data-driven and research-oriented', 'Compensation: Competitive', 'Location: Delhi-NCR', 'Joining Date: ASAP']",MarketingAnalogAddBusiness Process Outsourcing (BPO)AddCommunicationAddInterpersonal SkillsAddMarketing StrategyAddResearchAdd
"Deputy Manager - Human Resources (Industrial Relations), Chakan",ZF Group,"Pune, Maharashtra, India",On-site,"10,001+ employees","58,204 on LinkedIn",Over 200 applicants,"Automotive 10,001+ employees 58,204 on LinkedIn",Full-time · Mid-Senior level,"['Handle day to day activities of HR operations; Employee life cycle management', 'Assist in People Development activities. Drive Employee Engagement initiatives and improve the ESAT score.', 'Implement initiatives to foster Learning & Development culture in the Plant. Legal and statutory compliance adherence.', 'Maintain effective communication with all stakeholders.Co-ordination with the union.', 'Parties the incumbent is expected to deal with, External – Contractors, Govt officals ; Internal – Management, Union ; Global – Limited based on Projects;Customer – Not Applicable (May be indirectly through QMS during Audits);Employees - Yes', 'Education: MBA or equivalent degree with Human Resources specialisation with 6 - 12 Years of relevant experience as Generalist/HRBP', 'Specialized Knowledge – Experience in Generalist role along with Industrial Relations (IR)', 'Skills – Good Communication and Collaboration skills', 'Abilities – Stakeholder Management']",Human Resources (HR)Employee EngagementAddEmployee RelationsAddExit InterviewsAddHR OperationsAddHR PoliciesAddIndustrial RelationsAddLabor RelationsAddLabor and Employment LawAddStakeholder ManagementAdd
Regulatory Reporting - Analyst,Societe Generale Global Solution Centre,"Chennai, Tamil Nadu, India",Hybrid,"5,001-10,000 employees","7,087 on LinkedIn",39 applicants,"Information Technology & Services 5,001-10,000 employees 7,087 on LinkedIn",Part-time · Entry level,"[""Job Reference ID:22000ZBVResponsibilitiesSolvency:The chief responsibility will be to perform the monthly & quarterly credit risk reporting activities.You are also expected to perform & supervise the data consistency checks, reconciliations (inventory vs risk , accounting vs risk) and perform exception management in case of any breaks encountered in the recompilations.Additionally, you are expected to contribute to the improvement of the existing process and come-up with new ideas that can bring value and efficiency to the process.Profile RequiredFunctional Requirement: SolvencyBasel I,II, IIIIFRS ( All Standards)Risk Data with Accounting & InventoryBanking, Accounting, Finance conceptsUnderstanding Bank's financial StatementAccounting & Risk computationMaking Adjustment based on BaselUnderstanding Credit Risk RWAUnderstanding RWA & ECLRWA and ECL ComputationRisk ManagementFINREP / COREPBehavioral Requirement:Analytical, Problem Solving, Research ability, critical thinking, Pro- ActiveStrong communication (English) and stakeholder management skillsTime management & decision-making skillsPlus Factor:Project & Process change experienceAccounting Principles understandingPriority1: French + RegulatoryPriority2: French + Banking / Financial Services / Capital MarketsPriority3: French + Compliance , AML , KYCWhy join us“We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status”Business insightAt Societe Generale, we are convinced that people are drivers of change, and that the world of tomorrow will be shaped by all their initiatives, from the smallest to the most ambitious.Whether you’re joining us for a period of months, years or your entire career, together we can have a positive impact on the future. Creating, daring, innovating and taking action are part of our DNA.If you too want to be directly involved, grow in a stimulating and caring environment, feel useful on a daily basis and develop or strengthen your expertise, you will feel right at home with us!Still hesitating?You should know that our employees can dedicate several days per year to solidarity actions during their working hours, including sponsoring people struggling with their orientation or professional integration, participating in the financial education of young apprentices, and sharing their skills with charities. There are many ways to get involved.We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.""]",Accounting StandardsAddBasel IAddCommunicationAddException ManagementAddRegulatory ReportingAddReporting & AnalysisAddSolvencyAdd
Community Intern,WeWork India,"Mumbai, Maharashtra, India",On-site,201-500 employees,387 on LinkedIn,177 applicants,Real Estate 201-500 employees 387 on LinkedIn,Full-time · Internship,"['Illustrate WeWork’s core values and strive to achieve our mission', 'Support the Community Management team to achieve the following:', 'Create a welcoming and collaborative community environment amongst our members through events and building relationships between members', 'Ensure that your building is fully operational and processes are running smoothly', 'Drive growth and promotion of WeWork-provided service offerings', 'Take direction from the Community Lead and the Community Manager to support the Community Team as necessary', 'Be the first and last point of contact for your building', 'Cover the front desk during business hours', 'Greet and check-in member guests', 'Greet people who come in for tours, track walk-ins, schedule tours, and send confirmation emails', 'Manage We Member check-ins and check-outs', 'Prepare and distribute promotional materials to guests/potential members', 'Answer “walk-up” member and guest questions or refer inquirers to additional resources', 'Work on community initiatives designed to develop connections between members, including member introductions, event support, email and print communications', 'Solve member-related issues to ensure a cohesive community', 'Assist with set-up and breakdown of events.', 'Prepare newsletter', 'Assist with move-ins and move-outs;', 'Assist with building operations and maintenance to ensure the highest level of member experience', 'Mail and Package responsibilities as needed', 'Identify issues for escalation to the Community Manager and document accordingly.', 'College graduate preferred, but not required', 'Strong verbal and written communication skills', 'Exceptional organizational and multitasking skills', 'Demonstrate integrity, dependability, responsibility, accountability, self-awareness, work ethic, and empathy', 'Passion for entrepreneurial communities', 'Passion and understanding for WeWork’s mission and values', 'Proficient in basic computer skills', 'Customer service and/or sales experience a plus']",CommunicationAddCommunity ManagementAddCustomer ServiceAddMembership ManagementAddMultitaskingAddOffice AdministrationAddRelationship BuildingAddSalesAddSales ProcessesAddWritten CommunicationAdd
IT Delivery,Infosys BPM,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","33,753 on LinkedIn",90 applicants,"Information Technology & Services 10,001+ employees 33,753 on LinkedIn",Full-time · Mid-Senior level,"['Primary skills:Technology->DevOps->Continuous integration - Java->NPM', 'As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction.', 'You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain.', 'You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews.', 'You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes.', 'You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!', 'Knowledge of more than one technology', 'Basics of Architecture and Design fundamentals', 'Knowledge of Testing tools', 'Knowledge of agile methodologies', 'Understanding of Project life cycle activities on development and maintenance projects', 'Understanding of one or more Estimation methodologies, Knowledge of Quality processes', 'Basics of business domain to understand the business requirements', 'Analytical abilities, Strong Technical Skills, Good communication skills', 'Good understanding of the technology and domain', 'Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods', 'Awareness of latest technologies and trends', 'Excellent problem solving, analytical and debugging skills']",ArchitectureAddBusiness RequirementsAddDebuggingAddDesign PrinciplesAddProblem SolvingAddQuality AssuranceAddQuality ProcessesAddSOLID Design PrinciplesAddSoftware QualityAddSoftware Quality AssuranceAdd
