Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Marketing Automation Lead,Qween Network LLP,Mumbai Metropolitan Region,On-site,11-50 employees,80 on LinkedIn,Null,Human Resources 11-50 employees 80 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAddData AnalyticsAddDigital DesignsAddHTMLAddMarketingAddMarketing AnalyticsAddMarketing AutomationAddMarketing Campaign ManagementAddMultitaskingAddWeb DevelopmentAdd
Business Analyst,Codilar Technologies,"Bengaluru, Karnataka, India",On-site,51-200 employees,269 on LinkedIn,97 applicants,Information Technology & Services 51-200 employees 269 on LinkedIn,Full-time · Mid-Senior level,"['Business analysts typically take the lead role in:', 'Assisting with the business case', 'Planning and monitoring', 'Requirements management and communication with Stakeholders', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddBusiness Case PreparationAddBusiness RequirementsAddCommunicationAddEnglishAddPresentationsAddProblem SolvingAddRequirements GatheringAddUser StoriesAddWireframingAdd
SAP MDG,Capleo Global,"Bengaluru, Karnataka, India",On-site,201-500 employees,207 on LinkedIn,4 applicants,Staffing & Recruiting 201-500 employees 207 on LinkedIn,Contract · Entry level,"['Job DescriptionAnalyzed and documented all client requirements and business processes.Master Data: Material Master, Vendor Master, Purchase Info Record and Source List,Configuration of purchasing document types.Responsible for all master maintenance for supply chains like material, PE-BOM.Preparing weekly/Monthly Reports for BOM and Audit trails.Conducting RCA reports if any queries on master maintenance raises.Material creation, Extension, Updatation are made as per clients requirement.BOM activation/Deactivation, Update & Deletion are made while reviewing.Conduct Monthly client review meeting on performance, Enhancements & Recommendations.Maintain Quality inspection plans for certain material types like FGs, SFGs, Packaging, Rawmaterials.Creation, Extension, Up gradation of Vendor Masters.Special Procurement: Sub Contracting & Consignment Cycle.']",Accounting StandardsAddBusiness ProcessAddClient RequirementsAddIDocAddMaster DataAddSAP FIAddSAP MDGAddSAP Materials Management (SAP MM)AddSAP Sales & DistributionAddStatutory Accounting Principles (SAP)Add
Data Analyst - DS (Quantum),m360 Research,"Bengaluru, Karnataka, India",Hybrid,201-500 employees,257 on LinkedIn,43 applicants,Market Research 201-500 employees 257 on LinkedIn,Full-time · Associate,"['', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddAttention to DetailAddCommunicationAddData AnalyticsAddData ProcessingAddData ValidationAddIBM SPSSAddMarket ResearchAddProject DeliveryAddTimelinesAdd
Business Analyst-Salesforce,Jobs for Humanity,"Pune, Maharashtra, India",On-site,11-50 employees,32 on LinkedIn,7 applicants,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddBreakdownAddCommunicationAddFeedsAddInterpersonal SkillsAddNegotiationAddOperational RequirementsAddSalesforce CPQAddTechnical RequirementsAddUser StoriesAdd
Call Center Quality Manager,Jobs for Humanity,"Gurugram, Haryana, India",On-site,11-50 employees,32 on LinkedIn,15 applicants,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAddCustomer SatisfactionAddCustomer ServiceAddExpensesAddProblem SolvingAddProcess ImprovementAddQuality AssuranceAddQuality ControlAddRoot Cause AnalysisAddWritten CommunicationAdd
Marketing Analyst,RevBoosters,"Pune, Maharashtra, India",On-site,11-50 employees,23 on LinkedIn,3 applicants,Marketing & Advertising 11-50 employees 23 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddBid ProcessesAddBusiness RequirementsAddCampaignsAddCommunicationAddMarketing AnalyticsAddPay Per Click (PPC)AddProgrammatic Media BuyingAddTimelinesAddWeb AnalyticsAdd
SAP ABAP Project Manager,IDESLABS PRIVATE LIMITED,"Hyderabad, Telangana, India",On-site,51-200 employees,102 on LinkedIn,Null,Information Technology & Services 51-200 employees 102 on LinkedIn,Full-time · Mid-Senior level,[''],Accounting StandardsAddAdvanced Business Application Programming (ABAP)AddCorporate Financial ReportingAddSAP FIAddSAP FICOAddSAP HANAAddSAP NetweaverAddSAP Project ManagementAddSAP Sales & DistributionAddStatutory Accounting Principles (SAP)Add
"Lead Engineer (3+ yrs of experience in C#, VB.Net, MVC, ASP.NET , SQL Server , DB2 )",Jobs for Humanity,"Bengaluru, Karnataka, India",On-site,11-50 employees,32 on LinkedIn,1 applicant,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",ASP.NETAddBusiness RequirementsAddConceptual DesignAddIBM Db2AddModel-View-Controller (MVC)AddProject PlansAddSoftware DevelopmentAddTechnical RequirementsAddTechnical SpecsAddVisual Basic .NET (VB.NET)Add
Talent Acquisition Associate / Partner,Qrata,"Bengaluru North, Karnataka, India",Full-time · Associate,11-50 employees,42 on LinkedIn,84 applicants,Human Resources 11-50 employees 42 on LinkedIn,Full-time · Associate,"['Handling end to end Technical Recruitment across various verticals.', 'Stakeholder management, client and talent management', '', '']",CommunicationAddFull-life Cycle RecruitingAddInterpersonal SkillsAddInterviewingAddRecruitingAddSocial MediaAddSourcingAddTalent ManagementAddTeamworkAddTechnical RecruitingAdd
Interesting Job Opportunity: IIT Bombay - Assistant/Deputy Manager - Program Management,"Indian Institute of Technology, Bombay","Mumbai, Maharashtra, India",On-site,"10,001+ employees","7,711 on LinkedIn",57 applicants,"Higher Education 10,001+ employees 7,711 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '']",Build Strong RelationshipsAddChange ManagementAddCross-functional Team LeadershipAddProcess ImprovementAddProgram ManagementAddProject ManagementAddProject Management Office (PMO)AddProject PlansAddSocial InfluenceAddSystems ThinkingAdd
Implementation-Conversion Analyst with Payment domain,Jobs for Humanity,"Mumbai, Maharashtra, India",On-site,11-50 employees,32 on LinkedIn,1 applicant,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '']",Data AnalysisAnalytical SkillsAddClient RequirementsAddData AnalyticsAddDocumentationAddInterpersonal RelationshipsAddNegotiationAddProblem SolvingAddProduct MappingAddTechnical SpecsAdd
Deputy Manager || NB ETE,Kotak Life,Mumbai Metropolitan Region,On-site,"5,001-10,000 employees","12,897 on LinkedIn",15 applicants,"Insurance 5,001-10,000 employees 12,897 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAddData AnalyticsAddEnglishAddExternal RelationsAddInsurance IndustryAddInternational RelationsAddOrganization SkillsAddProblem SolvingAddTeam LeadershipAddTeam ManagementAdd
Executive - Customer Interaction,ProPMO Services Private Limited,"Pune, Maharashtra, India",Hybrid,11-50 employees,9 on LinkedIn,3 applicants,Management Consulting 11-50 employees 9 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Active ListeningAddCommunicationAddContact CentersAddCustomer InteractionAddCustomer SupportAddE-CommerceAddPresentation SkillsAddPresentationsAddQuotasAddSkilled Multi-taskerAdd
